"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Material_Code",1.5325273067525,1.60705765515515,-0.962698798216377,3.39125562640314,0.161616161616162,"Rejected"
"Plant",0.279489137291189,-0.0503864971961485,-0.960038336498163,2.19626445376666,0,"Rejected"
"Quantity_units",2.74827919555992,2.53787447371671,1.37042099498389,5.8376511779913,0.808080808080808,"Confirmed"
"Turnover_EURO",14.9103335412111,15.0186136762029,12.2996006293722,16.3649665310179,1,"Confirmed"
"Total_Cost_of_Distribution",9.16481862080708,9.21981687476785,6.87922566332994,11.2326951013,1,"Confirmed"
"Total_Customer_Order_Management_Costs",7.59396549544643,7.56500470395268,6.37442762358724,8.99339786099888,1,"Confirmed"
"Customer_related_Issues_Costs",4.98969797560538,5.13593537236,1.32453770167342,6.99277683034919,0.96969696969697,"Confirmed"
"Total_Operations_Costs",9.24043056584242,9.24933196207,7.53585998538369,10.5402623919538,1,"Confirmed"
"Product_Line",2.46032832332038,2.38949118090036,1.22769616562367,4.37983882015812,0.696969696969697,"Confirmed"
"Product_Type",3.3644600943146,3.5426843968045,1.14947710869601,5.38775276385975,0.858585858585859,"Confirmed"
"N_Parts",3.0767268921726,3.00478570112374,0.468168554112855,4.86769015301522,0.858585858585859,"Confirmed"
"Assembly_Labour_Minutes",1.76890971639346,1.73228810943852,-0.414977385534088,3.62378174683267,0.373737373737374,"Confirmed"
"Machinery_Minutes",1.21643037792963,1.2433840970137,-0.360999642525723,3.18272261871732,0.0606060606060606,"Rejected"
"Number_of_Deliveries",3.12446897461398,3.13155397355069,0.369916406168065,6.28124322471233,0.787878787878788,"Confirmed"
"Average_Delivery_Batch_Size_units",1.52757517682205,1.43012033763362,0.41376688735181,2.89432004318607,0.0808080808080808,"Rejected"
"Customer_Class",2.30032031748202,2.47666652421754,-0.226754688337173,3.71691163303878,0.656565656565657,"Rejected"
"Turnover_Range_EURO",2.48069821393834,2.70846941518597,-0.33097457158981,4.009857903546,0.757575757575758,"Confirmed"
"Geographical_Area",0.787414504808877,0.943683385546508,-1.28742789316041,2.68109040645337,0.0101010101010101,"Rejected"
"Gross_Margin",10.1384480335659,10.1112956381828,8.00353208234509,11.6504524391847,1,"Confirmed"
"Total_Overheads",12.486155534901,12.5112336037819,10.6802923880147,13.9152766579044,1,"Confirmed"
"Operational_Profit",7.47273035917798,7.47303440382103,5.56581084939117,8.79198291382778,1,"Confirmed"
"ROS",3.82697656703638,3.92728886952921,0.688858282521876,5.68682168128382,0.929292929292929,"Confirmed"
