"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Material_Code",1.11000680784194,1.17171394196054,-0.456745587095487,2.33166012600039,0.0303030303030303,"Rejected"
"Material_Code.1",0.176457181746394,0.506183837367446,-0.907970171144699,1.37633719844392,0,"Rejected"
"Plant",0.899399827080216,1.10026578895592,-1.15323845679641,3.60297587884364,0.0404040404040404,"Rejected"
"Plant.1",0.641717943708617,0.619184341431622,-1.11773128031262,2.82842072959092,0.0303030303030303,"Rejected"
"Customer_Code",0.131754000090101,0.0635632958695128,-1.49012999896256,1.10758254808987,0,"Rejected"
"Customer_Code.1",0.48714428487707,0.0796388454014136,-1.34118334971999,3.06397992333692,0.0606060606060606,"Rejected"
"Quantity_units",2.75883077849127,2.79296444972466,-0.792487486843804,4.61250424638628,0.797979797979798,"Confirmed"
"Quantity_units.1",2.89422381979296,2.94749790410735,0.420853295723414,4.79209205223623,0.909090909090909,"Confirmed"
"Turnover_EURO",10.2103043586464,10.2953116812282,7.99010756962862,11.8214122494199,1,"Confirmed"
"Turnover_EURO.1",10.1544973709039,10.2696595774806,7.67532878826119,12.0635423223818,1,"Confirmed"
"Cost_of_Goods_Sold_EURO.1",11.5775761799501,11.529586104775,9.45462727211197,13.4111370539428,1,"Confirmed"
"Total_Cost_of_Distribution",5.98848284706197,6.02954999287416,3.59869527559377,7.47756898521334,1,"Confirmed"
"Outbound_Logistics_Local_Branches",3.40025083233516,3.40627328209017,2.25245247336126,4.56447941078408,1,"Confirmed"
"Total_Customer_Order_Management_Costs",5.10406925337485,5.15182875343495,3.42231049818836,6.34937125845924,1,"Confirmed"
"Customer_Order_Management_Local_Branches",3.58224259930423,3.62048513352134,1.94838361449555,4.48316346676023,1,"Confirmed"
"Customer_related_Issues_Costs",2.91179673563665,3.04083653628541,0.0438920989264108,5.12081194091452,0.696969696969697,"Confirmed"
"Cost_of_Poor_Quality",0.499085562418447,0.573215647670484,-1.25268554264168,1.60180678824183,0,"Rejected"
"Total_Operations_Costs",5.87232769272934,6.0028391134198,3.63591436268419,7.23820530126084,1,"Confirmed"
"Manage_Foreign_Relationships",1.89133484214859,1.87182474845286,-0.490786170467413,3.10194756687145,0.454545454545455,"Rejected"
"Product_Line",1.3414010103507,1.43071731113938,-0.531947469043115,3.54929433306676,0.0505050505050505,"Rejected"
"Product_Line.1",1.45059644610784,1.35896373166851,-0.163039254675434,3.46361135382331,0.0909090909090909,"Rejected"
"Product_Type",1.83606753961641,1.80856902777252,-0.617843795683244,4.10908028480793,0.404040404040404,"Confirmed"
"Product_Type.1",1.86589472091937,1.9830868422682,-0.473463307254976,3.37878863291347,0.484848484848485,"Rejected"
"N_Parts",1.37032355295695,1.44698938908464,-1.54395743194392,3.05197816134855,0.303030303030303,"Rejected"
"Machinery_Minutes",-0.219027716766386,-0.629584398724204,-1.58405582524198,1.95149510247739,0,"Rejected"
"Number_of_Deliveries",2.372477951208,2.58925923823604,-0.245429621486571,4.22307369596683,0.686868686868687,"Confirmed"
"Average_Delivery_Batch_Size_units",0.906315922687834,1.24605636613342,-1.35847735528324,2.20215257337749,0.0101010101010101,"Rejected"
